,,count,mean,variance,ADF_stat,ADF_pval
admission_rate,Raw,2805,0.618429876626025,0.0358527989118185,-1.9896168530274227,0.29114422246947613
admission_rate,Log,2805,-0.5438407122673433,0.15525978901858145,-5.0181899472390725,2.0425195360119092e-05
admission_rate,Log-Diff,2804,3.725014534191514e-05,0.03166712671395138,-2.805356688711843,0.05751266780488501
admission_rate,Diff,2804,2.9554670470756167e-05,0.00796634312003853,-7.5323868982560365,3.550379903404012e-11
enrollement_rate,Raw,2805,0.3539684633308378,0.01616136880372944,-2.773471332716344,0.062164256925981286
enrollement_rate,Log,2805,-1.102095428796511,0.13069449548994597,-1.8933753844619667,0.3351839279658746
enrollement_rate,Log-Diff,2804,9.165073527621076e-05,0.032926367596173546,-37.08805009372521,0.0
enrollement_rate,Diff,2804,4.128398145506395e-05,0.005507623944486877,1.4072169040880935,0.9971466817894111
number_applied,Raw,2805,16775.558288770055,167573901.63055962,-0.807104770932577,0.8170261810822477
number_applied,Log,2805,9.468669406137211,0.5273298426993857,-3.559924592781463,0.006575056187379108
number_applied,Log-Diff,2804,-0.000621178778124254,0.08942867902769441,-51.43864623194594,0.0
number_applied,Diff,2804,-6.13623395149786,32015141.015677117,-2.2639702300458997,0.1838516429189574
number_admitted,Raw,2805,9088.216399286988,33382863.18276136,1.4765385377365443,0.9974355589726139
number_admitted,Log,2805,8.92482869386977,0.38373512492198547,-1.509017123774377,0.5290460742555078
number_admitted,Log-Diff,2804,-0.0005839286326603509,0.07553545618716469,-46.16232840905648,0.0
number_admitted,Diff,2804,-4.510699001426533,6620429.93747469,-5.059286586261915,1.691699157765368e-05
number_enrolled_total,Raw,2805,2911.0670231729055,2927846.1637788387,-0.732428307360353,0.8381701437864707
number_enrolled_total,Log,2805,7.822733265065915,0.29882973372242766,-1.102425147389845,0.7141038160129755
number_enrolled_total,Log-Diff,2804,-0.0004922778975497629,0.043518809137628615,-25.24761818290038,0.0
number_enrolled_total,Diff,2804,-1.655848787446505,453789.1950406846,-1.9199022038314224,0.3227571822925756
rev_tuition_fees_gross,Raw,2788,262540742.53335723,7.638048365501389e+16,1.192305533447997,0.9959322881730448
rev_tuition_fees_gross,Log,2788,18.9407123446838,0.9355547763656725,-5.464184160492225,2.479995969558389e-06
rev_tuition_fees_gross,Log-Diff,2786,-0.0012381390426334364,0.15962100842750412,-0.18230080053987613,0.9405986938474206
rev_tuition_fees_gross,Diff,2786,-270558.6992103374,1.3992489723924694e+16,-2.835162915822089,0.05342388523035598
rev_tuition_fees_net,Raw,2770,200738794.37148014,4.708540633255545e+16,0.6998752128859785,0.9898353789325058
rev_tuition_fees_net,Log,2770,18.672792746472645,0.9183421009819094,-3.67845533153245,0.004426609795128172
rev_tuition_fees_net,Log-Diff,2751,0.004504502010597609,0.1444163281137903,-36.477996774961525,0.0
rev_tuition_fees_net,Diff,2751,528415.9861868412,7727408846068104.0,-2.555187824474511,0.1026171663959432
rev_total_current,Raw,2788,864710457.6241033,1.5557283579405578e+18,2.3167460685837415,0.9989655763282579
rev_total_current,Log,2786,19.940500643070827,1.122234761761412,-2.0053107613712036,0.28424938127232696
rev_total_current,Log-Diff,2782,-0.0015389032392337946,0.15513012309854537,-0.4024128067272552,0.909695144914801
rev_total_current,Diff,2786,-990358.4264178033,2.939784139189458e+17,-3.5944720372018892,0.0058675942239769805
rev_fed_approps_grants,Raw,2779,110625644.654552,2.794737321270062e+16,-2.0542723172981794,0.26329474739603587
rev_fed_approps_grants,Log,2779,17.554661099395503,2.0682974234750224,-1.1299927204603255,0.7029641882510391
rev_fed_approps_grants,Log-Diff,2776,-0.0028442936935495823,0.2353855727873931,-12.761208163098972,8.136077988796639e-24
rev_fed_approps_grants,Diff,2776,-138131.644092219,2981795567544366.5,-2.158977164793477,0.22146968457995075
rev_state_local_approps_grants,Raw,2741,162883049.30974096,4.087183102081163e+16,0.8503716114661168,0.9924072497959519
rev_state_local_approps_grants,Log,2741,18.083772480092247,2.5492532110227644,-0.00458341047743507,0.9581513958844847
rev_state_local_approps_grants,Log-Diff,2733,-0.00033087686542920803,0.29906197505703164,-2.598418912874612,0.09332448650783004
rev_state_local_approps_grants,Diff,2733,-67888.31796560556,5140688747311851.0,-1.6354997584990092,0.46461325418405186
rev_other,Raw,2722,44457374.2564291,1.5252144777791662e+16,2.190201237150268,0.998874345336921
rev_other,Log,2708,16.349691421945398,2.8041437117033037,-1.574832630401889,0.4962223630997444
rev_other,Log-Diff,2684,0.002361059038892206,0.9643743745118559,-6.863638339008235,1.5792497612775656e-09
rev_other,Diff,2704,158311.625,7487982203332696.0,-0.7021542590578206,0.8461907468348355
exp_total_current,Raw,2788,793336169.348637,1.23882989244183e+18,3.3827840831161473,1.0
exp_total_current,Log,2788,19.87551172958059,1.083124175998644,-0.3086308483411432,0.9242730196214554
exp_total_current,Log-Diff,2786,-0.0014570435473922646,0.1285582484147608,-6.588577319426383,7.210005018299009e-09
exp_total_current,Diff,2786,-959351.4601579325,1.9472978759926285e+17,-53.48824702175605,0.0
exp_instruc_total,Raw,2788,234507407.4246772,7.064221845550328e+16,0.9335143965957328,0.9935124759463141
exp_instruc_total,Log,2788,18.840774151639575,0.8015887371639763,-3.812084339001553,0.002786068282998493
exp_instruc_total,Log-Diff,2786,-0.0014063572030786275,0.10020143895639338,-39.12568600054895,0.0
exp_instruc_total,Diff,2786,-274449.8463747308,1.0476204367417392e+16,-2.523659823971147,0.1098232438778039
exp_acad_supp_total,Raw,2788,66161545.43525825,8448731446082561.0,2.002305532364006,0.9986759395084299
exp_acad_supp_total,Log,2788,17.472161370762397,0.9825236566149568,-2.6017172313480543,0.09264286979690284
exp_acad_supp_total,Log-Diff,2786,-0.0016899740700130606,0.14482405979680982,0.45453761143062965,0.9834237989571637
exp_acad_supp_total,Diff,2786,-100507.73295046661,1378699457061076.0,-52.46057692591376,0.0
exp_student_serv_total,Raw,2788,37016524.323798425,1131401782676306.8,2.126343655567642,0.9988162184892095
exp_student_serv_total,Log,2788,17.115273038379275,0.6243581235595416,-3.0694655013941228,0.028896963231086162
exp_student_serv_total,Log-Diff,2786,-0.0006903606111334635,0.10118668613897579,-57.145890806185335,0.0
exp_student_serv_total,Diff,2786,-29570.689160086145,218573306626192.53,-61.53339001039717,0.0
exp_res_pub_serv_total,Raw,2770,146296961.54143682,6.0976994744031144e+16,-2.3818690818085666,0.14691924994309102
exp_res_pub_serv_total,Log,2770,17.220304963702926,3.939316675480367,-3.8475244262693606,0.0024568375583714284
exp_res_pub_serv_total,Log-Diff,2766,-0.0011819691720321853,0.37482351699922567,-33.346567894705075,0.0
exp_res_pub_serv_total,Diff,2766,-163038.53073029642,7531890074053765.0,-2.263725165574833,0.1839342753603911
completers_150pct,Raw,2640,1674.621212121212,1585328.115610652,-2.2841356643672803,0.17713559389601302
completers_150pct,Log,2640,7.186220887754311,0.45868443259762004,-2.529540871470051,0.10845114100512526
completers_150pct,Log-Diff,2475,0.035034444572445596,0.008739970429816186,-2.426534078444434,0.13438696863411564
completers_150pct,Diff,2475,51.41616161616162,26522.061152943577,-3.0184923725336725,0.03320316377323578
completion_rate_150pct,Raw,2640,0.6170291666666666,0.029105783619002526,1.1276720842722687,0.9954460087456198
completion_rate_150pct,Log,2640,-0.5244024036836179,0.08776172609892452,2.382224520023199,0.9990016974602471
completion_rate_150pct,Log-Diff,2475,0.012840975254463868,0.0020757109996065387,-3.9468308252357076,0.0017159919314537822
completion_rate_150pct,Diff,2475,0.006984242424242425,0.0005095961153351699,-3.822721001181675,0.002683219170722538
