,year,unitid,inst_name,state_name,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total,zip,region,inst_category,inst_size,longitude,latitude,default_rate,default_rate_denom,rev_tuition_fees_gross,rev_tuition_fees_net,rev_grants_contracts_local,rev_fed_approps_grants,rev_state_local_approps_grants,rev_gifts_grants_contracts,rev_other,rev_operating,rev_nonoperating,rev_total_current,exp_instruc_total,exp_research_total,exp_pub_serv_total,exp_res_pub_serv_total,exp_acad_supp_total,exp_student_serv_total,exp_total_current,exp_total_salaries,exp_total_benefits,endowment_beg,endowment_end,total_revenues_additions,total_expenses_deductions,completers_150pct,completion_rate_150pct,independent_pct,female_pct,married_pct,faminc_med,years_after_entry,count_not_working,count_working,earnings_mean,level_of_study,contact_hours,rep_fte,headcount
0,2014-01-01,110422,California Polytechnic State University-San Luis Obispo,California,43812.0,13533.0,4648.0,14.0,4662.0,93407,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-120.658999999999,35.2989,0.016,2554.0,206737408.0,161722080.0,,17948050.0,129727728.0,19004314.0,16404679.0,229645984.0,170202176.0,403697248.0,189305344.0,2758478.0,680793.0,3439271.0,50257340.0,64559168.0,411224384.0,162321648.0,66672552.0,207485856.0,198699696.0,403697248.0,411224384.0,2938.0,0.758,0.0880995,0.481172,0.0129663,69038.5,10,332,3293,74300,Undergraduate,,18194.0,19762.0
1,2014-01-01,110422,California Polytechnic State University-San Luis Obispo,California,43812.0,13533.0,4648.0,14.0,4662.0,93407,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-120.658999999999,35.2989,0.016,2554.0,206737408.0,161722080.0,,17948050.0,129727728.0,19004314.0,16404679.0,229645984.0,170202176.0,403697248.0,189305344.0,2758478.0,680793.0,3439271.0,50257340.0,64559168.0,411224384.0,162321648.0,66672552.0,207485856.0,198699696.0,403697248.0,411224384.0,2938.0,0.758,0.0880995,0.481172,0.0129663,69038.5,10,332,3293,74300,Graduate,,631.0,1154.0
2,2014-01-01,110422,California Polytechnic State University-San Luis Obispo,California,43812.0,13533.0,4648.0,14.0,4662.0,93407,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-120.658999999999,35.2989,0.016,2554.0,206737408.0,161722080.0,,17948050.0,129727728.0,19004314.0,16404679.0,229645984.0,170202176.0,403697248.0,189305344.0,2758478.0,680793.0,3439271.0,50257340.0,64559168.0,411224384.0,162321648.0,66672552.0,207485856.0,198699696.0,403697248.0,411224384.0,2938.0,0.758,0.0880995,0.481172,0.0129663,69038.5,10,332,3293,74300,First professional,,,
3,2014-01-01,110422,California Polytechnic State University-San Luis Obispo,California,43812.0,13533.0,4648.0,14.0,4662.0,93407,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-120.658999999999,35.2989,0.016,2554.0,206737408.0,161722080.0,,17948050.0,129727728.0,19004314.0,16404679.0,229645984.0,170202176.0,403697248.0,189305344.0,2758478.0,680793.0,3439271.0,50257340.0,64559168.0,411224384.0,162321648.0,66672552.0,207485856.0,198699696.0,403697248.0,411224384.0,2938.0,0.758,0.0880995,0.481172,0.0129663,69038.5,6,202,3560,54700,Undergraduate,,18194.0,19762.0
4,2014-01-01,110422,California Polytechnic State University-San Luis Obispo,California,43812.0,13533.0,4648.0,14.0,4662.0,93407,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-120.658999999999,35.2989,0.016,2554.0,206737408.0,161722080.0,,17948050.0,129727728.0,19004314.0,16404679.0,229645984.0,170202176.0,403697248.0,189305344.0,2758478.0,680793.0,3439271.0,50257340.0,64559168.0,411224384.0,162321648.0,66672552.0,207485856.0,198699696.0,403697248.0,411224384.0,2938.0,0.758,0.0880995,0.481172,0.0129663,69038.5,6,202,3560,54700,Graduate,,631.0,1154.0
5,2014-01-01,110422,California Polytechnic State University-San Luis Obispo,California,43812.0,13533.0,4648.0,14.0,4662.0,93407,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-120.658999999999,35.2989,0.016,2554.0,206737408.0,161722080.0,,17948050.0,129727728.0,19004314.0,16404679.0,229645984.0,170202176.0,403697248.0,189305344.0,2758478.0,680793.0,3439271.0,50257340.0,64559168.0,411224384.0,162321648.0,66672552.0,207485856.0,198699696.0,403697248.0,411224384.0,2938.0,0.758,0.0880995,0.481172,0.0129663,69038.5,6,202,3560,54700,First professional,,,
6,2014-01-01,110422,California Polytechnic State University-San Luis Obispo,California,43812.0,13533.0,4648.0,14.0,4662.0,93407,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-120.658999999999,35.2989,0.016,2554.0,206737408.0,161722080.0,,17948050.0,129727728.0,19004314.0,16404679.0,229645984.0,170202176.0,403697248.0,189305344.0,2758478.0,680793.0,3439271.0,50257340.0,64559168.0,411224384.0,162321648.0,66672552.0,207485856.0,198699696.0,403697248.0,411224384.0,2938.0,0.758,0.0880995,0.481172,0.0129663,69038.5,8,206,3408,63300,Undergraduate,,18194.0,19762.0
7,2014-01-01,110422,California Polytechnic State University-San Luis Obispo,California,43812.0,13533.0,4648.0,14.0,4662.0,93407,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-120.658999999999,35.2989,0.016,2554.0,206737408.0,161722080.0,,17948050.0,129727728.0,19004314.0,16404679.0,229645984.0,170202176.0,403697248.0,189305344.0,2758478.0,680793.0,3439271.0,50257340.0,64559168.0,411224384.0,162321648.0,66672552.0,207485856.0,198699696.0,403697248.0,411224384.0,2938.0,0.758,0.0880995,0.481172,0.0129663,69038.5,8,206,3408,63300,Graduate,,631.0,1154.0
8,2014-01-01,110422,California Polytechnic State University-San Luis Obispo,California,43812.0,13533.0,4648.0,14.0,4662.0,93407,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-120.658999999999,35.2989,0.016,2554.0,206737408.0,161722080.0,,17948050.0,129727728.0,19004314.0,16404679.0,229645984.0,170202176.0,403697248.0,189305344.0,2758478.0,680793.0,3439271.0,50257340.0,64559168.0,411224384.0,162321648.0,66672552.0,207485856.0,198699696.0,403697248.0,411224384.0,2938.0,0.758,0.0880995,0.481172,0.0129663,69038.5,8,206,3408,63300,First professional,,,
9,2014-01-01,110529,California State Polytechnic University-Pomona,California,32803.0,17016.0,3555.0,103.0,3658.0,91768,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-117.819,34.0543,0.032,3184.0,174438160.0,95953496.0,,49485508.0,153091616.0,4020320.0,9624643.0,127454056.0,212284608.0,342136896.0,147455856.0,1518083.0,143662.0,1661745.0,44946832.0,44740408.0,323654720.0,130903600.0,51110400.0,86644216.0,90215784.0,342136896.0,323654720.0,1715.0,0.629,0.265887,0.471493,0.0457372,28729.0,10,437,4021,58000,Undergraduate,,19178.0,23064.0
10,2014-01-01,110529,California State Polytechnic University-Pomona,California,32803.0,17016.0,3555.0,103.0,3658.0,91768,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-117.819,34.0543,0.032,3184.0,174438160.0,95953496.0,,49485508.0,153091616.0,4020320.0,9624643.0,127454056.0,212284608.0,342136896.0,147455856.0,1518083.0,143662.0,1661745.0,44946832.0,44740408.0,323654720.0,130903600.0,51110400.0,86644216.0,90215784.0,342136896.0,323654720.0,1715.0,0.629,0.265887,0.471493,0.0457372,28729.0,10,437,4021,58000,Graduate,,718.0,1936.0
11,2014-01-01,110529,California State Polytechnic University-Pomona,California,32803.0,17016.0,3555.0,103.0,3658.0,91768,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-117.819,34.0543,0.032,3184.0,174438160.0,95953496.0,,49485508.0,153091616.0,4020320.0,9624643.0,127454056.0,212284608.0,342136896.0,147455856.0,1518083.0,143662.0,1661745.0,44946832.0,44740408.0,323654720.0,130903600.0,51110400.0,86644216.0,90215784.0,342136896.0,323654720.0,1715.0,0.629,0.265887,0.471493,0.0457372,28729.0,10,437,4021,58000,First professional,,0.0,
