,year,unitid,inst_name,state_name,number_applied,number_admitted,number_enrolled_ft,number_enrolled_pt,number_enrolled_total,zip,region,inst_category,inst_size,longitude,latitude,default_rate,default_rate_denom,rev_tuition_fees_gross,rev_tuition_fees_net,rev_appropriations_local,rev_grants_contracts_local,rev_fed_approps_grants,rev_state_local_approps_grants,rev_gifts_grants_contracts,rev_other,rev_operating,rev_nonoperating,rev_total_current,exp_instruc_total,exp_research_total,exp_pub_serv_total,exp_res_pub_serv_total,exp_acad_supp_total,exp_student_serv_total,exp_total_current,exp_total_salaries,exp_total_benefits,endowment_beg,endowment_end,total_revenues_additions,total_expenses_deductions,completers_150pct,completion_rate_150pct,room_board_charge,independent_pct,female_pct,married_pct,faminc_med
34,2017,110422,California Polytechnic State University-San Luis Obispo,California,48588.0,16817.0,5241.0,12.0,5253.0,93407,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-120.65700000000001,35.2995,0.015,2989.0,248144176.0,193404288.0,,,19387800.0,242793376.0,24693864.0,24595656,264676064.0,300129792.0,583277632.0,206795248.0,1586015.0,288272.0,1874287.0,49556612.0,67215600.0,583200832.0,207186736.0,172135872.0,209804288.0,220572768.0,583277632.0,583200832.0,,,,,,,
2303,2014,110422,California Polytechnic State University-San Luis Obispo,California,43812.0,13533.0,4648.0,14.0,4662.0,93407,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-120.65899999999999,35.2989,0.016,2554.0,206737408.0,161722080.0,,,17948050.0,129727728.0,19004314.0,16404679,229645984.0,170202176.0,403697248.0,189305344.0,2758478.0,680793.0,3439271.0,50257340.0,64559168.0,411224384.0,162321648.0,66672552.0,207485856.0,198699696.0,403697248.0,411224384.0,2938.0,0.758,,0.0880995,0.481172,0.0129663,69038.5
2309,2014,110529,California State Polytechnic University-Pomona,California,32803.0,17016.0,3555.0,103.0,3658.0,91768,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-117.819,34.0543,0.032,3184.0,174438160.0,95953496.0,,,49485508.0,153091616.0,4020320.0,9624643,127454056.0,212284608.0,342136896.0,147455856.0,1518083.0,143662.0,1661745.0,44946832.0,44740408.0,323654720.0,130903600.0,51110400.0,86644216.0,90215784.0,342136896.0,323654720.0,1715.0,0.629,,0.265887,0.471493,0.0457372,28729
2312,2014,110556,California State University-Fresno,California,18964.0,11265.0,3387.0,146.0,3533.0,93740,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-119.74799999999999,36.8145,0.043,3463.0,161293440.0,74405760.0,,,59510696.0,162428544.0,4326445.0,12258501,87805232.0,233134576.0,347409120.0,132706744.0,5286808.0,3799877.0,9086685.0,37657400.0,45571880.0,318383840.0,127687424.0,48883540.0,153535264.0,156993296.0,347409120.0,318383840.0,1531.0,0.585,,0.245289,0.590043,0.0669152,26137
2313,2014,110565,California State University-Fullerton,California,40955.0,18212.0,4243.0,114.0,4357.0,92831-3599,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-117.885,33.8836,0.035,5249.0,271744864.0,172933168.0,,,70619080.0,200922448.0,542390.0,25706836,232326528.0,281324000.0,515088256.0,233922432.0,1200240.0,9749620.0,10949860.0,39321728.0,47497956.0,518976800.0,205836480.0,78305184.0,50355028.0,52645576.0,515088256.0,518976800.0,2379.0,0.619,,0.308891,0.582041,0.0629399,29036
2315,2014,110583,California State University-Long Beach,California,57322.0,20326.0,4237.0,98.0,4335.0,90840-0115,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-118.11200000000001,33.7828,0.038,5461.0,272759264.0,154536144.0,,,78225232.0,216428032.0,6436034.0,16592563,191656048.0,309165792.0,501588576.0,231536368.0,1110633.0,2614938.0,3725571.0,60332556.0,56626884.0,479660256.0,210486400.0,81003360.0,57046044.0,57190876.0,501588576.0,479660256.0,2328.0,0.67,,0.308523,0.581059,0.0450368,26402
2316,2014,110592,California State University-Los Angeles,California,31013.0,18941.0,3141.0,89.0,3230.0,90032,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-118.169,34.0669,0.06,3463.0,176493936.0,87121976.0,,,69642344.0,159799488.0,28421.0,14431516,110768720.0,235219712.0,348124672.0,131928040.0,2401343.0,2639456.0,5040799.0,45115180.0,25412544.0,324339968.0,132853936.0,46841552.0,19515536.0,23474392.0,348124672.0,324339968.0,851.0,0.45299999999999996,,0.371301,0.59589,0.0608828,20000
2317,2014,110608,California State University-Northridge,California,33386.0,17647.0,5450.0,76.0,5526.0,91330,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-118.527,34.2367,0.052000000000000005,6467.0,314911520.0,182507984.0,,75239.0,90127736.0,218514608.0,5379979.0,21153004,228044000.0,320339520.0,549404864.0,209244656.0,7387843.0,1892341.0,9280184.0,60670352.0,85533984.0,516451648.0,208806016.0,78176600.0,81369976.0,89715600.0,549404864.0,516451648.0,2042.0,0.504,,0.282132,0.575565,0.0467784,23559
2318,2014,110617,California State University-Sacramento,California,21550.0,15656.0,3473.0,222.0,3695.0,95819-2694,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-121.42200000000001,38.5574,0.057999999999999996,5071.0,212819376.0,121036120.0,,864413.0,68689824.0,183748496.0,933820.0,15401170,163613712.0,254636960.0,418801664.0,176308480.0,1327471.0,7284827.0,8612298.0,40546516.0,47592752.0,408443488.0,157915136.0,61748108.0,32297236.0,34136440.0,418801664.0,408443488.0,1358.0,0.46,,0.354473,0.589991,0.0785528,25645
2319,2014,110635,University of California-Berkeley,California,73782.0,11820.0,5432.0,35.0,5467.0,94720,"Far West: AK, CA, HI, NV, OR, and WA","Degree-granting, primarily baccalaureate or above","20,000 and above",-122.26,37.8715,0.028999999999999998,5273.0,910569984.0,730156992.0,,198078000.0,457288000.0,625419008.0,216734000.0,470501984,1747367040.0,679505984.0,2845716992.0,868902976.0,668475072.0,79590608.0,748065664.0,223543808.0,214252656.0,2648372992.0,1136838912.0,439863936.0,1671938944.0,1834400000.0,,,3972.0,0.9159999999999999,15830.0,0.200653,0.551358,0.0315961,32558
