,year,unitid,inst_name,state_name,level_of_study,contact_hours,rep_fte,headcount
114,2016,110529,California State Polytechnic University-Pomona,California,Undergraduate,,20659.0,24747.0
115,2016,110529,California State Polytechnic University-Pomona,California,Graduate,,684.0,1922.0
116,2016,110529,California State Polytechnic University-Pomona,California,First professional,,,
123,2016,110556,California State University-Fresno,California,Undergraduate,,19206.0,23020.0
124,2016,110556,California State University-Fresno,California,Graduate,,1528.0,3360.0
125,2016,110556,California State University-Fresno,California,First professional,,197.0,
126,2016,110565,California State University-Fullerton,California,Undergraduate,,29415.0,38279.0
127,2016,110565,California State University-Fullerton,California,Graduate,,2496.0,6511.0
128,2016,110565,California State University-Fullerton,California,First professional,,41.0,
132,2016,110583,California State University-Long Beach,California,Undergraduate,,27870.0,34415.0
133,2016,110583,California State University-Long Beach,California,Graduate,,2632.0,6226.0
134,2016,110583,California State University-Long Beach,California,First professional,,162.0,
135,2016,110592,California State University-Los Angeles,California,Undergraduate,,20198.0,24862.0
136,2016,110592,California State University-Los Angeles,California,Graduate,,1839.0,4319.0
137,2016,110592,California State University-Los Angeles,California,First professional,,,
138,2016,110608,California State University-Northridge,California,Undergraduate,,28409.0,37184.0
139,2016,110608,California State University-Northridge,California,Graduate,,2582.0,4725.0
140,2016,110608,California State University-Northridge,California,First professional,,139.0,
141,2016,110617,California State University-Sacramento,California,Undergraduate,,23666.0,30445.0
142,2016,110617,California State University-Sacramento,California,Graduate,,1460.0,2934.0
143,2016,110617,California State University-Sacramento,California,First professional,,133.0,
144,2016,110635,University of California-Berkeley,California,Undergraduate,,29702.0,31133.0
145,2016,110635,University of California-Berkeley,California,Graduate,,10033.0,11551.0
146,2016,110635,University of California-Berkeley,California,First professional,,1417.0,
147,2016,110644,University of California-Davis,California,Undergraduate,,28718.0,31437.0
148,2016,110644,University of California-Davis,California,Graduate,,5589.0,7341.0
149,2016,110644,University of California-Davis,California,First professional,,1583.0,
150,2016,110653,University of California-Irvine,California,Undergraduate,,28524.0,28947.0
151,2016,110653,University of California-Irvine,California,Graduate,,5207.0,5807.0
152,2016,110653,University of California-Irvine,California,First professional,,815.0,
153,2016,110662,University of California-Los Angeles,California,Undergraduate,,31867.0,33148.0
