,year,unitid,inst_name,state_name,years_after_entry,count_not_working,count_working,earnings_mean
108,2014,110529,California State Polytechnic University-Pomona,California,10,437,4021,58000
109,2014,110529,California State Polytechnic University-Pomona,California,6,432,4960,42900
110,2014,110529,California State Polytechnic University-Pomona,California,8,473,4943,49400
117,2014,110556,California State University-Fresno,California,10,600,5095,48500
118,2014,110556,California State University-Fresno,California,6,434,5211,37200
119,2014,110556,California State University-Fresno,California,8,500,5285,43400
120,2014,110565,California State University-Fullerton,California,10,880,7085,51800
121,2014,110565,California State University-Fullerton,California,6,733,8295,38500
122,2014,110565,California State University-Fullerton,California,8,885,7519,44800
126,2014,110583,California State University-Long Beach,California,10,797,6750,53000
127,2014,110583,California State University-Long Beach,California,6,690,7536,40000
128,2014,110583,California State University-Long Beach,California,8,744,7157,46200
129,2014,110592,California State University-Los Angeles,California,10,627,4933,49900
130,2014,110592,California State University-Los Angeles,California,6,602,5661,37200
131,2014,110592,California State University-Los Angeles,California,8,648,5379,44200
132,2014,110608,California State University-Northridge,California,10,1020,7698,49700
133,2014,110608,California State University-Northridge,California,6,908,8339,37400
134,2014,110608,California State University-Northridge,California,8,1004,7978,43500
135,2014,110617,California State University-Sacramento,California,10,757,6386,54200
136,2014,110617,California State University-Sacramento,California,6,665,7233,41800
137,2014,110617,California State University-Sacramento,California,8,731,6561,48100
138,2014,110635,University of California-Berkeley,California,10,751,5064,79000
139,2014,110635,University of California-Berkeley,California,6,702,5251,57600
140,2014,110635,University of California-Berkeley,California,8,723,5187,68100
141,2014,110644,University of California-Davis,California,10,680,5945,68100
142,2014,110644,University of California-Davis,California,6,646,6226,45300
143,2014,110644,University of California-Davis,California,8,680,6604,56600
144,2014,110653,University of California-Irvine,California,10,502,4403,65800
145,2014,110653,University of California-Irvine,California,6,547,4936,44300
146,2014,110653,University of California-Irvine,California,8,515,4756,54300
147,2014,110662,University of California-Los Angeles,California,10,790,6148,73200
148,2014,110662,University of California-Los Angeles,California,6,653,5482,52000
149,2014,110662,University of California-Los Angeles,California,8,776,5965,63900
153,2014,110680,University of California-San Diego,California,10,617,5027,69600
154,2014,110680,University of California-San Diego,California,6,634,5155,48200
155,2014,110680,University of California-San Diego,California,8,616,4546,58900
159,2014,110705,University of California-Santa Barbara,California,10,449,4592,62400
160,2014,110705,University of California-Santa Barbara,California,6,441,4575,42800
161,2014,110705,University of California-Santa Barbara,California,8,412,4160,52100
825,2014,122409,San Diego State University,California,10,867,7236,55900
826,2014,122409,San Diego State University,California,6,707,7638,41600
827,2014,122409,San Diego State University,California,8,841,8145,48500
837,2014,122597,San Francisco State University,California,10,944,6752,54700
838,2014,122597,San Francisco State University,California,6,758,6657,42100
839,2014,122597,San Francisco State University,California,8,838,6918,49000
855,2014,122755,San Jose State University,California,10,546,4600,63800
856,2014,122755,San Jose State University,California,6,521,5999,47200
857,2014,122755,San Jose State University,California,8,512,5295,54300
957,2014,123961,University of Southern California,California,10,499,5153,88800
958,2014,123961,University of Southern California,California,6,291,3564,61400
959,2014,123961,University of Southern California,California,8,346,3936,76900
1893,2013,110529,California State Polytechnic University-Pomona,California,10,465,4282,55400
1894,2013,110529,California State Polytechnic University-Pomona,California,6,419,4824,39800
1895,2013,110529,California State Polytechnic University-Pomona,California,8,434,4238,47400
1902,2013,110556,California State University-Fresno,California,10,628,5105,46500
1903,2013,110556,California State University-Fresno,California,6,442,4934,34700
1904,2013,110556,California State University-Fresno,California,8,524,4899,41400
1905,2013,110565,California State University-Fullerton,California,10,874,6841,49000
1906,2013,110565,California State University-Fullerton,California,6,752,7485,36300
1907,2013,110565,California State University-Fullerton,California,8,891,7357,43300
1911,2013,110583,California State University-Long Beach,California,10,807,6497,51100
1912,2013,110583,California State University-Long Beach,California,6,701,6989,37500
1913,2013,110583,California State University-Long Beach,California,8,712,6816,44300
1914,2013,110592,California State University-Los Angeles,California,10,636,4848,46900
1915,2013,110592,California State University-Los Angeles,California,6,579,5070,35500
1916,2013,110592,California State University-Los Angeles,California,8,644,4997,41900
1917,2013,110608,California State University-Northridge,California,10,1132,7963,47500
1918,2013,110608,California State University-Northridge,California,6,913,7461,35400
1919,2013,110608,California State University-Northridge,California,8,943,7653,41300
1920,2013,110617,California State University-Sacramento,California,10,814,6455,51000
1921,2013,110617,California State University-Sacramento,California,6,615,6456,39200
1922,2013,110617,California State University-Sacramento,California,8,724,6065,46600
1923,2013,110635,University of California-Berkeley,California,10,744,5166,74700
1924,2013,110635,University of California-Berkeley,California,6,775,5076,53300
1925,2013,110635,University of California-Berkeley,California,8,722,4802,64600
1926,2013,110644,University of California-Davis,California,10,702,5989,65200
1927,2013,110644,University of California-Davis,California,6,736,6303,42600
1928,2013,110644,University of California-Davis,California,8,642,5878,54300
1929,2013,110653,University of California-Irvine,California,10,525,4701,61800
1930,2013,110653,University of California-Irvine,California,6,527,4584,41800
1931,2013,110653,University of California-Irvine,California,8,563,4273,51500
1932,2013,110662,University of California-Los Angeles,California,10,818,6327,70700
1933,2013,110662,University of California-Los Angeles,California,6,734,5281,49600
1934,2013,110662,University of California-Los Angeles,California,8,749,5536,60200
1938,2013,110680,University of California-San Diego,California,10,610,4968,67900
1939,2013,110680,University of California-San Diego,California,6,632,4624,43500
1940,2013,110680,University of California-San Diego,California,8,554,4341,55500
1944,2013,110705,University of California-Santa Barbara,California,10,503,4592,59000
1945,2013,110705,University of California-Santa Barbara,California,6,442,4054,39500
1946,2013,110705,University of California-Santa Barbara,California,8,399,4137,48900
2622,2013,122409,San Diego State University,California,10,837,7078,53400
2623,2013,122409,San Diego State University,California,6,752,7860,39400
2624,2013,122409,San Diego State University,California,8,833,7522,46400
2634,2013,122597,San Francisco State University,California,10,1007,6643,52600
2635,2013,122597,San Francisco State University,California,6,776,6312,39300
2636,2013,122597,San Francisco State University,California,8,819,6676,45300
2655,2013,122755,San Jose State University,California,10,637,4673,59900
2656,2013,122755,San Jose State University,California,6,492,5171,44100
2657,2013,122755,San Jose State University,California,8,479,4865,52500
2757,2013,123961,University of Southern California,California,10,521,4879,85500
2758,2013,123961,University of Southern California,California,6,267,3530,60000
2759,2013,123961,University of Southern California,California,8,410,4411,75500
3684,2012,110529,California State Polytechnic University-Pomona,California,10,500,4269,54400
3685,2012,110529,California State Polytechnic University-Pomona,California,6,434,4338,38200
3686,2012,110529,California State Polytechnic University-Pomona,California,8,389,3732,47800
3693,2012,110556,California State University-Fresno,California,10,606,4852,46600
3694,2012,110556,California State University-Fresno,California,6,453,4691,34300
3695,2012,110556,California State University-Fresno,California,8,559,4721,39800
3696,2012,110565,California State University-Fullerton,California,10,903,6560,49000
3697,2012,110565,California State University-Fullerton,California,6,742,6866,36100
3698,2012,110565,California State University-Fullerton,California,8,825,6634,43400
3702,2012,110583,California State University-Long Beach,California,10,880,6880,50400
3703,2012,110583,California State University-Long Beach,California,6,655,6434,36500
3704,2012,110583,California State University-Long Beach,California,8,678,6282,44100
3705,2012,110592,California State University-Los Angeles,California,10,619,4521,46100
3706,2012,110592,California State University-Los Angeles,California,6,613,4812,35700
3707,2012,110592,California State University-Los Angeles,California,8,608,4664,41700
3708,2012,110608,California State University-Northridge,California,10,1094,7791,47100
3709,2012,110608,California State University-Northridge,California,6,884,7091,34300
3710,2012,110608,California State University-Northridge,California,8,895,7072,41600
3711,2012,110617,California State University-Sacramento,California,10,911,6229,49900
3712,2012,110617,California State University-Sacramento,California,6,675,5747,38100
3713,2012,110617,California State University-Sacramento,California,8,761,5775,45600
3714,2012,110635,University of California-Berkeley,California,10,730,5323,74000
3715,2012,110635,University of California-Berkeley,California,6,745,4751,51200
3716,2012,110635,University of California-Berkeley,California,8,724,4364,62500
3717,2012,110644,University of California-Davis,California,10,679,5939,66000
3718,2012,110644,University of California-Davis,California,6,681,5756,41700
3719,2012,110644,University of California-Davis,California,8,645,5133,53700
3720,2012,110653,University of California-Irvine,California,10,610,4930,60600
3721,2012,110653,University of California-Irvine,California,6,536,4111,39600
3722,2012,110653,University of California-Irvine,California,8,485,3721,51500
3723,2012,110662,University of California-Los Angeles,California,10,842,6477,72600
3724,2012,110662,University of California-Los Angeles,California,6,747,5057,47000
3725,2012,110662,University of California-Los Angeles,California,8,720,5122,58800
3729,2012,110680,University of California-San Diego,California,10,596,4699,69400
3730,2012,110680,University of California-San Diego,California,6,568,4039,41700
3731,2012,110680,University of California-San Diego,California,8,514,4259,55200
