Type,"Country Code","Series Code","Time Code","Description"
FootNote,"Aruba (ABW)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2000 (YR2000)","UIS_EST"
FootNote,"Aruba (ABW)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","2002 (YR2002)","UIS_EST"
FootNote,"Aruba (ABW)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2000 (YR2000)","UIS_EST"
FootNote,"Aruba (ABW)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","2002 (YR2002)","UIS_EST"
FootNote,"Aruba (ABW)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2000 (YR2000)","UIS_EST"
FootNote,"Aruba (ABW)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","2002 (YR2002)","UIS_EST"
FootNote,"Antigua and Barbuda (ATG)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2010 (YR2010)","NAT_EST"
FootNote,"Antigua and Barbuda (ATG)","Gross enrolment ratio, post-secondary non-tertiary, gender parity index (GPI) (UIS.GER.4.GPI)","2008 (YR2008)","NAT_EST"
FootNote,"Australia (AUS)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","1998 (YR1998)","UNESCO Institute for Statistics (UIS) estimate"
FootNote,"Australia (AUS)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, gender parity index (GPI) (UIS.GGR.5.A.GPI)","1998 (YR1998)","UNESCO Institute for Statistics (UIS) estimate"
FootNote,"Australia (AUS)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, male (%) (SE.TER.CMPL.MA.ZS)","1998 (YR1998)","UNESCO Institute for Statistics (UIS) estimate"
FootNote,"Australia (AUS)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, female (%) (SE.TER.CMPL.FE.ZS)","1998 (YR1998)","UNESCO Institute for Statistics (UIS) estimate"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2010 (YR2010)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2009 (YR2009)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2008 (YR2008)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2005 (YR2005)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2004 (YR2004)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2003 (YR2003)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2002 (YR2002)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2001 (YR2001)","NAT_EST"
FootNote,"Azerbaijan (AZE)","Gross graduation ratio from first degree programmes (ISCED 6 and 7) in tertiary education, both sexes (%) (SE.TER.CMPL.ZS)","2000 (YR2000)","NAT_EST"
