"variable","label","description","source","source2"
"unitid","Unit ID number","Unique identification number of the institution in the Integrated Postsecondary Education Data System.","Integrated Postsecondary Education Data System",""
"number_applied","Number of applicants","The number of first-time, degree/certificate-seeking undergraduate students who applied (full or part time) for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"number_admitted","Number of admissions","The number of first-time, degree/certificate-seeking undergraduate students who were admitted (full or part time) for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"number_enrolled_ft","Number of students enrolled full-time","The number of first-time, degree/certificate-seeking undergraduate students who enrolled full-time for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"number_enrolled_pt","Number of students enrolled part-time","The number of first-time, degree/certificate-seeking undergraduate students who enrolled part-time for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"number_enrolled_total","Total number of students enrolled","The number of first-time, degree/certificate-seeking undergraduate students who enrolled for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"inst_name","Institution (entity) name","","Integrated Postsecondary Education Data System",""
"zip","Zip code","","Integrated Postsecondary Education Data System",""
"county_name","County name","","Integrated Postsecondary Education Data System",""
"region","Bureau of Economic Analysis (BEA) regions","","Integrated Postsecondary Education Data System",""
"longitude","Longitude of institution","","Integrated Postsecondary Education Data System",""
"latitude","Latitude of institution","","Integrated Postsecondary Education Data System",""
"postsec_public_active_title_iv","Postsecondary and Title IV institution indicator","","Integrated Postsecondary Education Data System",""
"inst_control","Control of institution","","Integrated Postsecondary Education Data System",""
"institution_level","Level of institution","","Integrated Postsecondary Education Data System",""
"sector","Sector of institution","","Integrated Postsecondary Education Data System",""
"rev_tuition_fees_gross","Revenue: Tuition and fees","","Integrated Postsecondary Education Data System",""
"rev_tuition_fees_net","Revenue: Tuition and fees, net of discounts and allowances","","Integrated Postsecondary Education Data System",""
"rev_appropriations_fed","Revenue: Federal appropriations","","Integrated Postsecondary Education Data System",""
"rev_appropriations_state","Revenue: State appropriations","","Integrated Postsecondary Education Data System",""
"rev_appropriations_local","Revenue: Local appropriations","","Integrated Postsecondary Education Data System",""
"rev_grants_contracts_federal","Revenue: Federal grants and contracts","","Integrated Postsecondary Education Data System",""
"rev_grants_contracts_state","Revenue: State grants and contracts","","Integrated Postsecondary Education Data System",""
"rev_grants_contracts_local","Revenue: Local grants and contracts","","Integrated Postsecondary Education Data System",""
"rev_gifts_grants_contracts","Revenue: Private gifts, grants, and contracts","","Integrated Postsecondary Education Data System",""
"rev_total_current","Revenue: Total","Total revenue includes all revenue, investment return, and other additions.","Integrated Postsecondary Education Data System",""
"sch_total_student_aid","Total student aid","Total student aid is total revenue that funds scholarships and fellowships.","Integrated Postsecondary Education Data System",""
"sch_exp_net_fellowships","Net scholarships and fellowship expenses","","Integrated Postsecondary Education Data System",""
"exp_instruc_total","Expenditures: Instruction&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_instruc_salaries","Expenditures: Instruction&mdash;salaries and wages","","Integrated Postsecondary Education Data System",""
"exp_res_pub_serv_total","Expenditures: Research and public service&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_res_pub_serv_salaries","Expenditures: Research and public service&mdash;salaries and wages","","Integrated Postsecondary Education Data System",""
"exp_acad_inst_student_total","Expenditures: Academic and institutional support and student services&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_acad_inst_student_salaries","Expenditures: Academic and institutional support and student services&mdash;salaries and wages","","Integrated Postsecondary Education Data System",""
"exp_aux_ent_total","Expenditures: Auxiliary enterprises&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_aux_ent_salaries","Expenditures: Auxiliary enterprises&mdash;salaries and wages","","Integrated Postsecondary Education Data System",""
"exp_net_grant_aid_total","Expenditures: Net scholarships and fellowship expenses&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_net_grant_aid_salaries","Expenditures: Net scholarships and fellowship expenses&mdash;salaries and wages","","Integrated Postsecondary Education Data System",""
"exp_total_current","Expenditures: Total","","Integrated Postsecondary Education Data System",""
"exp_total_salaries","Expenditures: Salaries and wages","","Integrated Postsecondary Education Data System",""
"endowment_beg","Value of endowment (beginning of year)","","Integrated Postsecondary Education Data System",""
"endowment_end","Value of endowment (end of year)","","Integrated Postsecondary Education Data System",""
"total_revenues_additions","Total revenue, investment return, and other additions","","Integrated Postsecondary Education Data System",""
"total_expenses_deductions","Total expenses and deductions","","Integrated Postsecondary Education Data System",""
"net_position_beginning","Net position, beginning of year","","Integrated Postsecondary Education Data System",""
"net_position_end","Net position, end of year","","Integrated Postsecondary Education Data System",""
"cpi","Consumer Price Index","This inflation index is based on the Consumer Price Index for All Urban Consumers from the Bureau of Labor Statistics, indexed to 2016.","Integrated Postsecondary Education Data System",""
