"variable","label","description","source","source2"
"unitid","Unit ID number","Unique identification number of the institution in the Integrated Postsecondary Education Data System.","Integrated Postsecondary Education Data System",""
"number_applied","Number of applicants","The number of first-time, degree/certificate-seeking undergraduate students who applied (full or part time) for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"number_admitted","Number of admissions","The number of first-time, degree/certificate-seeking undergraduate students who were admitted (full or part time) for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"number_enrolled_ft","Number of students enrolled full-time","The number of first-time, degree/certificate-seeking undergraduate students who enrolled full-time for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"number_enrolled_pt","Number of students enrolled part-time","The number of first-time, degree/certificate-seeking undergraduate students who enrolled part-time for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"number_enrolled_total","Total number of students enrolled","The number of first-time, degree/certificate-seeking undergraduate students who enrolled for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"reqt_hs_rank","Admissions requirement: Secondary school rank","","Integrated Postsecondary Education Data System",""
"reqt_test_scores","Admissions requirement: Admission test scores","","Integrated Postsecondary Education Data System",""
"reqt_hs_gpa","Admissions requirement: Secondary school GPA","","Integrated Postsecondary Education Data System",""
"reqt_hs_record","Admissions requirement: Secondary school record","","Integrated Postsecondary Education Data System",""
"sat_percent_submitting","Percentage of first-time degree/certificate-seeking students submitting SAT scores","","Integrated Postsecondary Education Data System",""
"sat_crit_read_75_pctl","SAT critical reading 75th percentile score","","Integrated Postsecondary Education Data System",""
"sat_math_75_pctl","SAT math 75th percentile score","","Integrated Postsecondary Education Data System",""
"inst_name","Institution (entity) name","","Integrated Postsecondary Education Data System",""
"zip","Zip code","","Integrated Postsecondary Education Data System",""
"region","Bureau of Economic Analysis (BEA) regions","","Integrated Postsecondary Education Data System",""
"cbsa","Core-based statistical area","","Integrated Postsecondary Education Data System",""
"longitude","Longitude of institution","","Integrated Postsecondary Education Data System",""
"latitude","Latitude of institution","","Integrated Postsecondary Education Data System",""
"title_iv_indicator","OPE Title IV eligibility indicator code","","Integrated Postsecondary Education Data System",""
"postsec_public_active_title_iv","Postsecondary and Title IV institution indicator","","Integrated Postsecondary Education Data System",""
"inst_control","Control of institution","","Integrated Postsecondary Education Data System",""
"institution_level","Level of institution","","Integrated Postsecondary Education Data System",""
"inst_category","Institutional category","","Integrated Postsecondary Education Data System",""
"inst_size","Institution size category","","Integrated Postsecondary Education Data System",""
"sector","Sector of institution","","Integrated Postsecondary Education Data System",""
"url_netprice","Net price calculator web address","","Integrated Postsecondary Education Data System",""
"years_since_entering_repay","Number of years since the cohort entered repayment","","College Scorecard",""
"default_rate","Cohort default rate","","College Scorecard",""
"default_rate_denom","Number of students in the cohort for the cohort default rate","There are some strange values in these data; for example, the default rate might be .25 or .6 even with a denominator of 1. From the documentation: ""For many elements, data are pooled across two years of data to reduce year-over-year variability in figures.""","College Scorecard",""
"rev_tuition_fees_gross","Revenue: Tuition and fees","","Integrated Postsecondary Education Data System",""
"rev_tuition_fees_net","Revenue: Tuition and fees, net of discounts and allowances","","Integrated Postsecondary Education Data System",""
"rev_appropriations_fed","Revenue: Federal appropriations","","Integrated Postsecondary Education Data System",""
"rev_appropriations_state","Revenue: State appropriations","","Integrated Postsecondary Education Data System",""
"rev_appropriations_local","Revenue: Local appropriations","","Integrated Postsecondary Education Data System",""
"rev_grants_contracts_federal","Revenue: Federal grants and contracts","","Integrated Postsecondary Education Data System",""
"rev_grants_contracts_state","Revenue: State grants and contracts","","Integrated Postsecondary Education Data System",""
"rev_grants_contracts_local","Revenue: Local grants and contracts","","Integrated Postsecondary Education Data System",""
"rev_fed_approps_grants","Revenue: Federal appropriations, grants, and contracts","","Integrated Postsecondary Education Data System",""
"rev_state_local_approps_grants","Revenue: State and local appropriations, grants, and contracts","","Integrated Postsecondary Education Data System",""
"rev_gifts_grants_contracts","Revenue: Private gifts, grants, and contracts","","Integrated Postsecondary Education Data System",""
"rev_total_current","Revenue: Total","Total revenue includes all revenue, investment return, and other additions.","Integrated Postsecondary Education Data System",""
"exp_instruc_total","Expenditures: Instruction&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_instruc_salaries","Expenditures: Instruction&mdash;salaries and wages","","Integrated Postsecondary Education Data System",""
"exp_research_total","Expenditures: Research&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_research_salaries","Expenditures: Research&mdash;salaries and wages","","Integrated Postsecondary Education Data System",""
"exp_student_serv_total","Expenditures: Student services&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_student_serv_salaries","Expenditures: Student services&mdash;salaries and wages","","Integrated Postsecondary Education Data System",""
"exp_net_grant_aid_total","Expenditures: Net scholarships and fellowship expenses&mdash;total","","Integrated Postsecondary Education Data System",""
