"year","unitid","inst_name","state_name","number_applied","number_admitted","number_enrolled_ft","number_enrolled_pt","number_enrolled_total","zip","county_name","region","inst_control","institution_level","sector","postsec_public_active_title_iv","longitude","latitude","rev_tuition_fees_gross","rev_tuition_fees_net","rev_appropriations_fed","rev_appropriations_state","rev_appropriations_local","rev_grants_contracts_federal","rev_grants_contracts_state","rev_grants_contracts_local","rev_gifts_grants_contracts","rev_total_current","sch_total_student_aid","sch_exp_net_fellowships","exp_instruc_total","exp_instruc_salaries","exp_res_pub_serv_total","exp_res_pub_serv_salaries","exp_acad_inst_student_total","exp_acad_inst_student_salaries","exp_aux_ent_total","exp_aux_ent_salaries","exp_net_grant_aid_total","exp_net_grant_aid_salaries","exp_total_current","exp_total_salaries","endowment_beg","endowment_end","total_revenues_additions","total_expenses_deductions","net_position_beginning","net_position_end","cpi","hepi","heca","calc_fte"
"2017","103778","Thunderbird School of Global Management","Arizona","","","","","","85306-6000","Maricopa County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-112.181","33.6209","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.91","","","306"
"2017","104151","Arizona State University-Tempe","Arizona","24127","20302","7822","52","7874","85287","Maricopa County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-111.934","33.4177","1697363968","1323267968","","306777984","","414244992","44181000","98796000","75791000","2583781120","601699968","211811008","973372032","489399008","374312000","141522000","685294016","303812992","264114000","64383000","211811008","","2520707072","999116992","665488000","720564992","2583781120","2520707072","1333831936","1269985024","101.91","","","47714"
"2017","104179","University of Arizona","Arizona","33608","28089","5902","1458","7360","85721-0066","Pima County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-110.951","32.2327","867561984","653518976","","282534016","1018000","383134016","16304000","205347008","81746000","2123032960","276655008","55436000","568622976","312384000","588211008","274179008","589212992","286212992","292516992","82846000","55436000","","2060678016","955622016","843529024","959631680","2123032960","2060678016","1134744960","1039640000","101.91","","","39290"
"2017","105297","Dine College","Arizona","","","","","","86556","Apache County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-109.217","36.2933","2206036","334623","13960848","","4200000","12352214","","","","34887652","8869482","5587552","9394391","6457794","811794","288738","11160903","5468400","2330803","253194","5587552","","34396728","12468126","6613986","7456693","34887652","34396728","103026768","82486608","101.91","","","1132"
"2017","105330","Northern Arizona University","Arizona","36875","29812","5261","639","5900","86011-4092","Coconino County","Southwest: AZ, NM, OK, and TX","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-111.654","35.1884","364804928","236789632","","99716304","","91260336","6062321","8233431","14460359","590295232","175774480","38658556","214907440","116165112","85336496","33162372","188547248","79486608","57379264","25874208","38658556","","584857216","254688304","170870000","186219008","590295232","584857216","287650400","242739296","101.91","","","26699"
"2017","132693","Eastern Florida State College","Florida","","","","","","32922","Brevard County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-80.7565","28.3836","30602706","19863076","","44533800","","26299336","8373510","3572282","","112950088","31050884","20311254","50381068","27168068","2136909","670162","43106712","17904568","","","20311254","","115935944","45742796","20115584","11359058","112950088","115935944","128403736","125289872","101.91","","","9554"
"2017","132709","Broward College","Florida","","","","","","33301","Broward County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-80.1418","26.1194","100376832","50953720","","90252336","","78189784","18816552","11957598","2964168","280403456","98216016","48792896","106710544","53689248","2103796","1058482","117085904","58909400","5659580","2847503","48792896","","280352704","116504632","41768376","41117836","280403456","280352704","234673264","232536496","101.91","","","23626"
"2017","132851","College of Central Florida","Florida","","","","","","34474","Marion County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.1757","29.1661","15210543","6157578","","21633476","","17525140","2777412","162261","1953679","64313600","19477214","10424249","22793114","9436900","","","27879344","11543693","776853","321664","10424249","","61873560","21302256","58597892","62317684","64313600","61873560","86827400","89076232","101.91","","","4708"
"2017","132903","University of Central Florida","Florida","37693","18810","6686","193","6879","32816","Orange County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.2009","28.6022","482047392","312163232","","375457600","","212395232","89462232","26220820","21658768","1178866176","289874496","119990344","407444192","257967984","177599824","75411624","259498704","131500344","106128712","48678704","119990344","","1140582144","527151552","155232336","161573520","1178866176","1140582144","1279955072","1097786112","101.91","","","53045"
"2017","133021","Chipola College","Florida","","","","","","32446-2053","Jackson County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-85.2314","30.7892","3405764","2312305","","12068946","","3680557","1136923","631932","14692","21722876","4560192","3459134","8831553","4529008","416250","40893","10411520","4017103","158706","","3459134","","23277164","8587004","16416596","15268563","21722876","23277164","58015060","56543612","101.91","","","1353"
"2017","133386","Daytona State College","Florida","","","","","","32114","Volusia County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.0497","29.2033","31824804","19538124","","51482856","","27615848","3095922","2268966","83469","115287600","28620380","16333701","51596552","30309524","2704885","473235","43531496","18180072","807257","181045","16333701","","114973888","49143880","12857848","13428574","115287600","114973888","186605104","196685216","101.91","","","8914"
"2017","133508","Florida SouthWestern State College","Florida","","","","","","33919","Lee County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.8871","26.5524","37926232","18731664","","36520548","","29461338","2830757","2980892","4219765","114906160","31345162","12150591","41814336","24176206","4455","","48766304","19174024","2817997","728549","12150591","","109069792","46123128","19189378","19421228","114906160","109069792","148569296","149827104","101.91","","","9741"
"2017","133650","Florida Agricultural and Mechanical University","Florida","7533","3437","1534","28","1562","32307","Leon County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.2902","30.4285","80108680","44190324","","103219776","","66600536","11235074","1810291","5357122","276374336","60714992","24796632","78843296","52673272","30044978","12316469","102146144","53566672","38220728","12648891","24796632","","290818848","131205304","86554784","87517056","276374336","290818848","487652000","431904480","101.91","","","9071"
"2017","133669","Florida Atlantic University","Florida","15176","9107","2782","9","2791","33431-0991","Palm Beach County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-80.103","26.3724","224146544","157147120","","191156400","","74479400","37153900","12227759","","604182848","125197504","58198088","165436832","115953984","54389984","28696692","177135968","79583744","122014360","59966356","58198088","","600740800","286714240","282206528","299299648","604182848","600740800","782518336","656717952","101.91","","","23116"
"2017","133702","Florida State College at Jacksonville","Florida","","","","","","32202","Duval County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.6599","30.3349","52533696","37579876","","77963264","","40972448","8954298","1502612","1102062","179862208","44246312","29292492","75990976","41636196","88121","1000","87257040","37061520","626444","124073","29292492","","193255072","78822792","43161124","49134316","179862208","193255072","219081168","207359456","101.91","","","12337"
"2017","133951","Florida International University","Florida","19757","10683","2512","1823","4335","33199","Miami-Dade County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-80.3739","25.7573","444704128","278847840","","294595904","","194607664","6641228","19872580","26379956","1052518336","271072864","105216560","332281664","218372384","156905056","75306296","314105152","145657728","79043144","27253156","105216560","","1021439872","466589568","240595504","251336608","1052518336","1021439872","927300416","750569216","101.91","","","42499"
"2017","133960","Florida Keys Community College","Florida","","","","","","33040","Monroe County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.7445","24.5827","3097803","2024743","","7150672","","1934134","162694","189066","189316","15720496","1571873","498813","6918021","3398723","40134","21394","7115114","2793145","149451","63241","498813","","14721533","6276503","2733599","3049598","15720496","14721533","24162222","25079916","101.91","","","632"
"2017","134097","Florida State University","Florida","35334","17381","6450","73","6523","32306-1037","Leon County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-84.2919","30.4408","390933856","230122368","","464446432","","209166976","100677040","13312794","49989352","1319631232","266028320","105216832","452499040","258400224","241200192","102797296","277266240","117812384","131410040","65775960","105216832","","1269570432","544785856","639371392","681369728","1319631232","1269570432","2079830912","2013361664","101.91","","","37489"
"2017","134130","University of Florida","Florida","32747","13758","6396","32","6428","32611","Alachua County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.3479","29.6463","593384000","394777984","","761033984","","513847008","190430000","845441984","126365000","3212675072","318156992","119551000","785153024","511711008","1501714944","836398976","427076992","240485008","123921000","45955000","119551000","","3056862976","1634550016","1605037056","1727399936","3212675072","3056862976","2432098048","1747636992","101.91","","","47209"
"2017","134343","Gulf Coast State College","Florida","","","","","","32401","Bay County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-85.7279","30.1855","9859309","5087718","","22755916","","9766451","2086275","1472386","139946","50126708","11119286","5629497","22551796","11500963","441926","71778","20057616","7642715","4136509","690504","5629497","","52817344","19905960","31381150","33421434","50126708","52817344","96823696","94421744","101.91","","","3268"
"2017","134608","Indian River State College","Florida","","","","","","34981-5596","St. Lucie County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-80.3587","27.4242","32496270","17592366","","50680832","","35065720","8097002","4776754","","134730080","37157776","19576796","61811248","35845704","947531","356779","46685096","22726092","10679086","1387009","19576796","","139699760","60315584","25148176","26173200","134730080","139699760","225666976","218564496","101.91","","","10577"
"2017","135160","Florida Gateway College","Florida","","","","","","32025-2007","Columbia County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.5679","30.1753","6241933","3584642","","13842612","","5425994","1366722","216286","817921","32224376","6608114","3511988","10530275","6172075","7523","2800","13497813","6238576","2486932","190816","3511988","","30034532","12604267","4340332","4411458","32224376","30034532","32244872","34486756","101.91","","","1920"
"2017","135188","Lake-Sumter State College","Florida","","","","","","34788-8751","Lake County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.7972","28.8286","8716233","6662169","","14354002","","7863169","329426","978789","358150","33296544","7031806","4977742","11283911","6216122","226158","86414","18452440","7671645","99288","1471","4977742","","35062100","13975652","5883083","6595424","33296544","35062100","67751024","65561144","101.91","","","2885"
"2017","135391","State College of Florida-Manatee-Sarasota","Florida","","","","","","34207","Manatee County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.5909","27.438","21852260","15564607","","26360868","","15637158","1959336","5019740","","70548240","17385738","11098086","26840930","15590867","","","29907120","13526615","871935","108670","11098086","","71496312","29226152","12110895","42522800","70548240","71496312","113551184","111250616","101.91","","","6798"
"2017","135717","Miami Dade College","Florida","","","","","","33132-2204","Miami-Dade County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-80.1909","25.7777","177925472","78783592","","176744512","","187412480","18501872","11556761","","551920640","195211680","96069800","189359664","106925144","7442670","4202630","200865152","113421912","8817626","4979021","96069800","","502554912","229528704","210103680","225362240","551920640","502554912","1405568256","1425614848","101.91","","","36669"
"2017","136145","North Florida Community College","Florida","","","","","","32340","Madison County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-83.4207","30.4738","2365334","876308","","7899186","","3141145","327063","250754","","13506622","2942154","1453128","5709320","2742682","374514","198683","5366277","2562220","391577","","1453128","","13603306","5503585","1832787","1863945","13506622","13603306","25565916","25311372","101.91","","","799"
"2017","136172","University of North Florida","Florida","14305","8399","2162","131","2293","32224-7699","Duval County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.5091","30.2719","114607832","79762944","","93716904","","25392680","18999496","1617335","","287190816","71543880","23470732","96226936","52199788","12939083","5846714","90437392","40865456","49069468","22172756","23470732","","291437536","121084720","107074464","113315560","287190816","291437536","319433632","231776944","101.91","","","13146"
"2017","136233","Northwest Florida State College","Florida","","","","","","32578-1295","Okaloosa County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-86.4746","30.54","11269816","8284815","","19003276","","7082266","1177859","3713295","1159074","50881196","8271361","5286360","19775620","10051707","1206084","475236","20482334","7090899","1575738","429039","5286360","","48326136","18046880","35217256","35369320","50881196","48326136","114520416","117091152","101.91","","","3791"
"2017","136358","Palm Beach State College","Florida","","","","","","33461-4796","Palm Beach County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-80.0865","26.6126","67737600","36640968","","62741968","","56611496","11097917","6502774","1637104","195354224","71374904","40278268","83678976","48002976","451036","244016","79111536","45167436","1138596","249910","40278268","","204658416","93664336","18737232","18925318","195354224","204658416","240662080","230979440","101.91","","","17080"
"2017","136400","Pasco-Hernando State College","Florida","","","","","","34654-5199","Pasco County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.6467","28.2751","21410990","11540249","","30869952","","19411472","5932655","1546329","","79357184","25199540","13351665","27207958","13980428","","","34598004","13223734","7474802","687226","13351665","","82632432","27891388","44397080","49104424","79357184","82632432","185718320","183085600","101.91","","","7313"
"2017","136473","Pensacola State College","Florida","","","","","","32504-8998","Escambia County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-87.2003","30.4793","21523742","13354710","","35628484","","17514290","4200574","818410","3036439","80454528","23635756","15466724","29843148","15717648","4276721","1630781","30350850","12014213","","","15466724","","79937440","29362642","10158395","10353461","80454528","79937440","62863984","62499216","101.91","","","6033"
"2017","136516","Polk State College","Florida","","","","","","33881-4299","Polk County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.7119","28.0324","23895690","14112691","","29756352","","21171082","7263237","316553","","77539520","20848360","11065362","36969808","25849992","216528","161903","34012784","19103248","501918","126631","11065362","","82766400","45241772","18344210","18378184","77539520","82766400","88316232","82933216","101.91","","","6465"
"2017","137078","St Petersburg College","Florida","","","","","","33760-2822","Pinellas County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.7173","27.9024","68373640","40192680","","72055544","","55864848","12491323","3738449","3761055","214735072","66593384","38412428","88326760","53685904","10730","","88159464","39824456","1963969","315","38412428","","219017088","93510680","26935186","27457900","214735072","219017088","237070544","209743872","101.91","","","17091"
"2017","137096","Santa Fe College","Florida","","","","","","32606-6210","Alachua County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-82.4331","29.681","37373940","28821038","","44423508","","23014072","3967814","2495096","","119985912","25814496","17261594","49126084","32317910","1620778","754935","46510212","23054620","3618517","281116","17261594","","118137184","56408584","27347244","27565000","119985912","118137184","114850288","115934856","101.91","","","9612"
"2017","137209","Seminole State College of Florida","Florida","","","","","","32773-6199","Seminole County","Southeast: AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, and WV","Public","Four or more years","Public, four-year or above","Title IV postsecondary institution","-81.308","28.7455","36823340","24296698","","45684052","","28555374","2750060","2491992","466220","120413736","30239960","17713316","54276824","31090452","","","53692876","22035964","909096","173608","17713316","","126592112","53300024","8571398","11478006","120413736","126592112","203258496","195908496","101.91","","","10667"
