"year","unitid","inst_name","state_name","years_since_entering_repay","repay_rate","repay_rate_female","repay_rate_male","repay_rate_firstgen","repay_count_female","repay_count_male","repay_count_firstgen"
"2016","103778","Thunderbird School of Global Management","Arizona","3","0.584856","0.575553","0.595843","0.559313","13752","11644","9492"
"2016","103778","Thunderbird School of Global Management","Arizona","5","0.62692","0.627352","0.626415","0.595519","11056","9449","7365"
"2016","103778","Thunderbird School of Global Management","Arizona","7","0.676281","0.67422","0.678803","0.650566","8297","6784","5300"
"2016","104151","Arizona State University-Tempe","Arizona","3","0.584856","0.575553","0.595843","0.559313","13752","11644","9492"
"2016","104151","Arizona State University-Tempe","Arizona","5","0.62692","0.627352","0.626415","0.595519","11056","9449","7365"
"2016","104151","Arizona State University-Tempe","Arizona","7","0.676281","0.67422","0.678803","0.650566","8297","6784","5300"
"2016","104179","University of Arizona","Arizona","3","0.656278","0.653325","0.659635","0.611213","4797","4219","2729"
"2016","104179","University of Arizona","Arizona","5","0.716021","0.71717","0.714648","0.669194","4706","3939","2506"
"2016","104179","University of Arizona","Arizona","7","0.754595","0.759536","0.748691","0.711521","3880","3247","2170"
"2016","105330","Northern Arizona University","Arizona","3","0.557791","0.553633","0.564398","0.52274","6069","3820","3650"
"2016","105330","Northern Arizona University","Arizona","5","0.592498","0.58678","0.60157","0.559986","5053","3185","2934"
"2016","105330","Northern Arizona University","Arizona","7","0.63796","0.631345","0.648517","0.599525","3605","2259","2105"
"2016","132693","Eastern Florida State College","Florida","3","0.362594","0.360619","0.365532","0.356144","2712","1822","2002"
"2016","132693","Eastern Florida State College","Florida","5","0.387843","0.396565","0.373333","0.385776","2620","1575","1856"
"2016","132693","Eastern Florida State College","Florida","7","0.449362","0.45297","0.442825","0.447296","1616","892","1091"
"2016","132709","Broward College","Florida","3","0.384651","0.373187","0.404262","0.381077","5378","3144","4217"
"2016","132709","Broward College","Florida","5","0.424662","0.424234","0.425351","0.418739","3788","2351","2935"
"2016","132709","Broward College","Florida","7","0.48695","0.497849","0.466165","0.508188","2790","1463","1954"
"2016","132851","College of Central Florida","Florida","3","0.322678","0.312527","0.340735","0.300405","2323","1306","1974"
"2016","132851","College of Central Florida","Florida","5","0.344296","0.345455","0.342362","0.337604","1540","923","1327"
"2016","132851","College of Central Florida","Florida","7","0.469572","0.489726","0.430769","0.447059","876","455","680"
"2016","132903","University of Central Florida","Florida","3","0.589487","0.578364","0.605401","0.56646","10649","7443","6297"
"2016","132903","University of Central Florida","Florida","5","0.669962","0.659758","0.684971","0.646318","8250","5609","4603"
"2016","132903","University of Central Florida","Florida","7","0.716886","0.711519","0.724507","0.698175","5834","4109","3343"
"2016","133021","Chipola College","Florida","3","0.461538","0.416107","0.608696","0.456522","149","46","92"
"2016","133021","Chipola College","Florida","5","0.464968","0.504132","0.333333","0.445946","121","36","74"
"2016","133021","Chipola College","Florida","7","0.51087","Suppressed data","Suppressed data","0.489796","71","21","49"
"2016","133386","Daytona State College","Florida","3","0.371462","0.364011","0.384504","0.3655","4857","2775","3658"
"2016","133386","Daytona State College","Florida","5","0.3662","0.376556","0.348995","0.356367","5622","3384","4327"
"2016","133386","Daytona State College","Florida","7","0.399637","0.407419","0.384661","0.40766","3262","1695","2350"
"2016","133508","Florida SouthWestern State College","Florida","3","0.449689","0.453377","0.443454","0.444105","3035","1795","2621"
"2016","133508","Florida SouthWestern State College","Florida","5","0.46493","0.462803","0.468512","0.457709","2433","1445","2069"
"2016","133508","Florida SouthWestern State College","Florida","7","0.540605","0.548889","0.525308","0.545455","1350","731","1089"
