"variable","label","description","source","source2"
"unitid","Unit ID number","Unique identification number of the institution in the Integrated Postsecondary Education Data System.","Integrated Postsecondary Education Data System",""
"number_applied","Number of applicants","The number of first-time, degree/certificate-seeking undergraduate students who applied (full or part time) for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"number_admitted","Number of admissions","The number of first-time, degree/certificate-seeking undergraduate students who were admitted (full or part time) for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"number_enrolled_ft","Number of students enrolled full-time","The number of first-time, degree/certificate-seeking undergraduate students who enrolled full-time for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"number_enrolled_pt","Number of students enrolled part-time","The number of first-time, degree/certificate-seeking undergraduate students who enrolled part-time for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"number_enrolled_total","Total number of students enrolled","The number of first-time, degree/certificate-seeking undergraduate students who enrolled for the most recent fall period available. Includes early decision, early action, and students who began studies during the summer before that fall. This is applicable to institutions that have no open admission policy for entering first-time undergraduate students.","Integrated Postsecondary Education Data System",""
"inst_name","Institution (entity) name","","Integrated Postsecondary Education Data System",""
"zip","Zip code","","Integrated Postsecondary Education Data System",""
"region","Bureau of Economic Analysis (BEA) regions","","Integrated Postsecondary Education Data System",""
"longitude","Longitude of institution","","Integrated Postsecondary Education Data System",""
"latitude","Latitude of institution","","Integrated Postsecondary Education Data System",""
"inst_category","Institutional category","","Integrated Postsecondary Education Data System",""
"inst_size","Institution size category","","Integrated Postsecondary Education Data System",""
"default_rate","Cohort default rate","","College Scorecard",""
"default_rate_denom","Number of students in the cohort for the cohort default rate","There are some strange values in these data; for example, the default rate might be .25 or .6 even with a denominator of 1. From the documentation: ""For many elements, data are pooled across two years of data to reduce year-over-year variability in figures.""","College Scorecard",""
"rev_tuition_fees_gross","Revenue: Tuition and fees","","Integrated Postsecondary Education Data System",""
"rev_tuition_fees_net","Revenue: Tuition and fees, net of discounts and allowances","","Integrated Postsecondary Education Data System",""
"rev_appropriations_local","Revenue: Local appropriations","","Integrated Postsecondary Education Data System",""
"rev_grants_contracts_local","Revenue: Local grants and contracts","","Integrated Postsecondary Education Data System",""
"rev_fed_approps_grants","Revenue: Federal appropriations, grants, and contracts","","Integrated Postsecondary Education Data System",""
"rev_state_local_approps_grants","Revenue: State and local appropriations, grants, and contracts","","Integrated Postsecondary Education Data System",""
"rev_gifts_grants_contracts","Revenue: Private gifts, grants, and contracts","","Integrated Postsecondary Education Data System",""
"rev_other","Revenue: Other sources","","Integrated Postsecondary Education Data System",""
"rev_operating","Revenue: Total operating revenue","","Integrated Postsecondary Education Data System",""
"rev_nonoperating","Revenue: Total nonoperating revenue","","Integrated Postsecondary Education Data System",""
"rev_total_current","Revenue: Total","Total revenue includes all revenue, investment return, and other additions.","Integrated Postsecondary Education Data System",""
"exp_instruc_total","Expenditures: Instruction&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_research_total","Expenditures: Research&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_pub_serv_total","Expenditures: Public service&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_res_pub_serv_total","Expenditures: Research and public service&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_acad_supp_total","Expenditures: Academic support&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_student_serv_total","Expenditures: Student services&mdash;total","","Integrated Postsecondary Education Data System",""
"exp_total_current","Expenditures: Total","","Integrated Postsecondary Education Data System",""
"exp_total_salaries","Expenditures: Salaries and wages","","Integrated Postsecondary Education Data System",""
"exp_total_benefits","Expenditures: Benefits","","Integrated Postsecondary Education Data System",""
"endowment_beg","Value of endowment (beginning of year)","","Integrated Postsecondary Education Data System",""
"endowment_end","Value of endowment (end of year)","","Integrated Postsecondary Education Data System",""
"total_revenues_additions","Total revenue, investment return, and other additions","","Integrated Postsecondary Education Data System",""
"total_expenses_deductions","Total expenses and deductions","","Integrated Postsecondary Education Data System",""
"rep_fte","Reported full-time equivalent enrollment","Reported full-time equivalent (FTE) enrollment during the academic year.National Center for Education Statistics uses estimated FTE enrollment to calculate expenses by function per FTE and core revenues per FTE as reported in the Integrated Postsecondary Education Data System Data Feedback Report.If the generated estimate was not reasonable, the institution provided their best estimate for FTE. If the institution did not provide an FTE then the reported FTE was set to the estimated FTE.","Integrated Postsecondary Education Data System",""
"completers_150pct","Completers within 150% of normal time","Completers within 150% of normal time. Normal time is the amount of time necessary for a student to complete all requirements for a degree or certificate according to the institution's catalog. This is typically 4 years (8 semesters or trimesters, or 12 quarters, excluding summer terms) for a bachelor's degree in a standard term-based institution; 2 years (4 semesters or trimesters, or 6 quarters, excluding summer terms) for an associate's degree in a standard term-based institution; and the various scheduled times for certificate programs.","Integrated Postsecondary Education Data System",""
"completion_rate_150pct","Graduation rate within 150% of normal time","","Integrated Postsecondary Education Data System",""
