"year","unitid","inst_name","state_name","ftpt","retention_rate"
"2017","104151","Arizona State University-Tempe","Arizona","Full-time","0.87"
"2017","104151","Arizona State University-Tempe","Arizona","Part-time","0.53"
"2017","104151","Arizona State University-Tempe","Arizona","Total","0.86"
"2017","104179","University of Arizona","Arizona","Full-time","0.83"
"2017","104179","University of Arizona","Arizona","Part-time","0.62"
"2017","104179","University of Arizona","Arizona","Total","0.78"
"2017","105297","Dine College","Arizona","Full-time",""
"2017","105297","Dine College","Arizona","Part-time",""
"2017","105297","Dine College","Arizona","Total",""
"2017","105330","Northern Arizona University","Arizona","Full-time","0.76"
"2017","105330","Northern Arizona University","Arizona","Part-time","0.5"
"2017","105330","Northern Arizona University","Arizona","Total","0.73"
"2017","132693","Eastern Florida State College","Florida","Full-time",""
"2017","132693","Eastern Florida State College","Florida","Part-time",""
"2017","132693","Eastern Florida State College","Florida","Total",""
"2017","132709","Broward College","Florida","Full-time",""
"2017","132709","Broward College","Florida","Part-time",""
"2017","132709","Broward College","Florida","Total",""
"2017","132851","College of Central Florida","Florida","Full-time",""
"2017","132851","College of Central Florida","Florida","Part-time",""
"2017","132851","College of Central Florida","Florida","Total",""
"2017","132903","University of Central Florida","Florida","Full-time","0.9"
"2017","132903","University of Central Florida","Florida","Part-time","0.8"
"2017","132903","University of Central Florida","Florida","Total","0.89"
"2017","133021","Chipola College","Florida","Full-time",""
"2017","133021","Chipola College","Florida","Part-time",""
"2017","133021","Chipola College","Florida","Total",""
"2017","133386","Daytona State College","Florida","Full-time",""
"2017","133386","Daytona State College","Florida","Part-time",""
"2017","133386","Daytona State College","Florida","Total",""
"2017","133508","Florida SouthWestern State College","Florida","Full-time",""
"2017","133508","Florida SouthWestern State College","Florida","Part-time",""
"2017","133508","Florida SouthWestern State College","Florida","Total",""
"2017","133650","Florida Agricultural and Mechanical University","Florida","Full-time","0.83"
"2017","133650","Florida Agricultural and Mechanical University","Florida","Part-time","0.57"
"2017","133650","Florida Agricultural and Mechanical University","Florida","Total","0.82"
"2017","133669","Florida Atlantic University","Florida","Full-time","0.79"
"2017","133669","Florida Atlantic University","Florida","Part-time","0.64"
"2017","133669","Florida Atlantic University","Florida","Total","0.79"
"2017","133702","Florida State College at Jacksonville","Florida","Full-time",""
"2017","133702","Florida State College at Jacksonville","Florida","Part-time",""
"2017","133702","Florida State College at Jacksonville","Florida","Total",""
"2017","133951","Florida International University","Florida","Full-time","0.88"
"2017","133951","Florida International University","Florida","Part-time","0.77"
"2017","133951","Florida International University","Florida","Total","0.87"
"2017","133960","Florida Keys Community College","Florida","Full-time",""
"2017","133960","Florida Keys Community College","Florida","Part-time",""
"2017","133960","Florida Keys Community College","Florida","Total",""
"2017","134097","Florida State University","Florida","Full-time","0.94"
"2017","134097","Florida State University","Florida","Part-time","0.79"
"2017","134097","Florida State University","Florida","Total","0.93"
"2017","134130","University of Florida","Florida","Full-time","0.96"
"2017","134130","University of Florida","Florida","Part-time","0.81"
"2017","134130","University of Florida","Florida","Total","0.96"
"2017","134343","Gulf Coast State College","Florida","Full-time",""
"2017","134343","Gulf Coast State College","Florida","Part-time",""
"2017","134343","Gulf Coast State College","Florida","Total",""
"2017","134608","Indian River State College","Florida","Full-time",""
"2017","134608","Indian River State College","Florida","Part-time",""
"2017","134608","Indian River State College","Florida","Total",""
"2017","135160","Florida Gateway College","Florida","Full-time",""
"2017","135160","Florida Gateway College","Florida","Part-time",""
"2017","135160","Florida Gateway College","Florida","Total",""
"2017","135188","Lake-Sumter State College","Florida","Full-time",""
"2017","135188","Lake-Sumter State College","Florida","Part-time",""
"2017","135188","Lake-Sumter State College","Florida","Total",""
"2017","135391","State College of Florida-Manatee-Sarasota","Florida","Full-time",""
"2017","135391","State College of Florida-Manatee-Sarasota","Florida","Part-time",""
"2017","135391","State College of Florida-Manatee-Sarasota","Florida","Total",""
"2017","135717","Miami Dade College","Florida","Full-time",""
"2017","135717","Miami Dade College","Florida","Part-time",""
"2017","135717","Miami Dade College","Florida","Total",""
"2017","136145","North Florida Community College","Florida","Full-time",""
"2017","136145","North Florida Community College","Florida","Part-time",""
"2017","136145","North Florida Community College","Florida","Total",""
"2017","136172","University of North Florida","Florida","Full-time","0.81"
"2017","136172","University of North Florida","Florida","Part-time","0.55"
"2017","136172","University of North Florida","Florida","Total","0.79"
"2017","136233","Northwest Florida State College","Florida","Full-time",""
"2017","136233","Northwest Florida State College","Florida","Part-time",""
"2017","136233","Northwest Florida State College","Florida","Total",""
"2017","136358","Palm Beach State College","Florida","Full-time",""
"2017","136358","Palm Beach State College","Florida","Part-time",""
"2017","136358","Palm Beach State College","Florida","Total",""
"2017","136400","Pasco-Hernando State College","Florida","Full-time",""
"2017","136400","Pasco-Hernando State College","Florida","Part-time",""
"2017","136400","Pasco-Hernando State College","Florida","Total",""
"2017","136473","Pensacola State College","Florida","Full-time",""
"2017","136473","Pensacola State College","Florida","Part-time",""
"2017","136473","Pensacola State College","Florida","Total",""
