"year","unitid","inst_name","state_name","level_of_study","enrollment_fall"
"2017","103778","Thunderbird School of Global Management","Arizona","Graduate","327"
"2017","104151","Arizona State University-Tempe","Arizona","Undergraduate","42427"
"2017","104151","Arizona State University-Tempe","Arizona","Graduate","8737"
"2017","104179","University of Arizona","Arizona","Undergraduate","34101"
"2017","104179","University of Arizona","Arizona","Graduate","9650"
"2017","105297","Dine College","Arizona","Undergraduate","1465"
"2017","105330","Northern Arizona University","Arizona","Undergraduate","27084"
"2017","105330","Northern Arizona University","Arizona","Graduate","3967"
"2017","132693","Eastern Florida State College","Florida","Undergraduate","15769"
"2017","132709","Broward College","Florida","Undergraduate","40754"
"2017","132851","College of Central Florida","Florida","Undergraduate","7151"
"2017","132903","University of Central Florida","Florida","Undergraduate","56853"
"2017","132903","University of Central Florida","Florida","Graduate","9206"
"2017","133021","Chipola College","Florida","Undergraduate","2092"
"2017","133386","Daytona State College","Florida","Undergraduate","13970"
"2017","133508","Florida SouthWestern State College","Florida","Undergraduate","15731"
"2017","133650","Florida Agricultural and Mechanical University","Florida","Undergraduate","8024"
"2017","133650","Florida Agricultural and Mechanical University","Florida","Graduate","1889"
"2017","133669","Florida Atlantic University","Florida","Undergraduate","25030"
"2017","133669","Florida Atlantic University","Florida","Graduate","5178"
"2017","133702","Florida State College at Jacksonville","Florida","Undergraduate","21092"
"2017","133951","Florida International University","Florida","Undergraduate","47629"
"2017","133951","Florida International University","Florida","Graduate","9089"
"2017","133960","Florida Keys Community College","Florida","Undergraduate","1030"
"2017","134097","Florida State University","Florida","Undergraduate","33008"
"2017","134097","Florida State University","Florida","Graduate","8354"
"2017","134130","University of Florida","Florida","Undergraduate","35247"
"2017","134130","University of Florida","Florida","Graduate","17422"
"2017","134343","Gulf Coast State College","Florida","Undergraduate","5379"
"2017","134608","Indian River State College","Florida","Undergraduate","17598"
"2017","135160","Florida Gateway College","Florida","Undergraduate","3292"
"2017","135188","Lake-Sumter State College","Florida","Undergraduate","4881"
"2017","135391","State College of Florida-Manatee-Sarasota","Florida","Undergraduate","10886"
"2017","135717","Miami Dade College","Florida","Undergraduate","56001"
"2017","136145","North Florida Community College","Florida","Undergraduate","1367"
"2017","136172","University of North Florida","Florida","Undergraduate","14255"
"2017","136172","University of North Florida","Florida","Graduate","2054"
"2017","136233","Northwest Florida State College","Florida","Undergraduate","5727"
"2017","136358","Palm Beach State College","Florida","Undergraduate","30052"
"2017","136400","Pasco-Hernando State College","Florida","Undergraduate","11947"
"2017","136473","Pensacola State College","Florida","Undergraduate","9655"
"2017","136516","Polk State College","Florida","Undergraduate","10659"
"2017","137078","St Petersburg College","Florida","Undergraduate","29548"
"2017","137096","Santa Fe College","Florida","Undergraduate","14588"
"2017","137209","Seminole State College of Florida","Florida","Undergraduate","17550"
"2017","137281","Saint Johns River State College","Florida","Undergraduate","7249"
"2017","137315","South Florida State College","Florida","Undergraduate","2860"
"2017","137351","University of South Florida-Main Campus","Florida","Undergraduate","31772"
"2017","137351","University of South Florida-Main Campus","Florida","Graduate","11768"
"2017","137759","Tallahassee Community College","Florida","Undergraduate","11782"
"2017","138187","Valencia College","Florida","Undergraduate","44834"
"2017","138354","The University of West Florida","Florida","Undergraduate","10002"
"2017","138354","The University of West Florida","Florida","Graduate","3038"
"2017","138558","Abraham Baldwin Agricultural College","Georgia","Undergraduate","3394"
"2017","138716","Albany State University","Georgia","Undergraduate","6262"
"2017","138716","Albany State University","Georgia","Graduate","353"
"2017","138789","Armstrong State University","Georgia","Undergraduate","6281"
"2017","138789","Armstrong State University","Georgia","Graduate","760"
"2017","138901","Atlanta Metropolitan State College","Georgia","Undergraduate","2501"
"2017","139010","Bainbridge State College","Georgia","Undergraduate","1746"
"2017","139250","College of Coastal Georgia","Georgia","Undergraduate","3663"
"2017","139311","Clayton  State University","Georgia","Undergraduate","6555"
"2017","139311","Clayton  State University","Georgia","Graduate","448"
"2017","139366","Columbus State University","Georgia","Undergraduate","6799"
"2017","139366","Columbus State University","Georgia","Graduate","1654"
"2017","139463","Dalton State College","Georgia","Undergraduate","5164"
"2017","139621","East Georgia State College","Georgia","Undergraduate","3003"
"2017","139700","Georgia Highlands College","Georgia","Undergraduate","6013"
"2017","139719","Fort Valley State University","Georgia","Undergraduate","2344"
"2017","139719","Fort Valley State University","Georgia","Graduate","408"
"2017","139755","Georgia Institute of Technology-Main Campus","Georgia","Undergraduate","15573"
"2017","139755","Georgia Institute of Technology-Main Campus","Georgia","Graduate","13803"
"2017","139764","Georgia Southwestern State University","Georgia","Undergraduate","2606"
"2017","139764","Georgia Southwestern State University","Georgia","Graduate","446"
"2017","139861","Georgia College & State University","Georgia","Undergraduate","5987"
"2017","139861","Georgia College & State University","Georgia","Graduate","965"
"2017","139931","Georgia Southern University","Georgia","Undergraduate","17759"
"2017","139931","Georgia Southern University","Georgia","Graduate","2659"
"2017","139940","Georgia State University","Georgia","Undergraduate","25770"
"2017","139940","Georgia State University","Georgia","Graduate","7046"
"2017","139959","University of Georgia","Georgia","Undergraduate","28848"
"2017","139959","University of Georgia","Georgia","Graduate","8758"
"2017","139968","Gordon State College","Georgia","Undergraduate","3986"
"2017","140960","Savannah State University","Georgia","Undergraduate","4239"
"2017","140960","Savannah State University","Georgia","Graduate","190"
"2017","141264","Valdosta State University","Georgia","Undergraduate","8778"
"2017","141264","Valdosta State University","Georgia","Graduate","2563"
"2017","141334","University of West Georgia","Georgia","Undergraduate","11229"
"2017","141334","University of West Georgia","Georgia","Graduate","2291"
"2017","173124","Bemidji State University","Minnesota","Undergraduate","4815"
"2017","173124","Bemidji State University","Minnesota","Graduate","380"
"2017","173920","Minnesota State University-Mankato","Minnesota","Undergraduate","12782"
"2017","173920","Minnesota State University-Mankato","Minnesota","Graduate","1930"
"2017","174020","Metropolitan State University","Minnesota","Undergraduate","7317"
"2017","174020","Metropolitan State University","Minnesota","Graduate","831"
"2017","174066","University of Minnesota-Twin Cities","Minnesota","Undergraduate","35433"
"2017","174066","University of Minnesota-Twin Cities","Minnesota","Graduate","16415"
"2017","174075","University of Minnesota-Crookston","Minnesota","Undergraduate","2834"
"2017","174233","University of Minnesota-Duluth","Minnesota","Undergraduate","10118"
"2017","174233","University of Minnesota-Duluth","Minnesota","Graduate","1050"
"2017","174251","University of Minnesota-Morris","Minnesota","Undergraduate","1627"
"2017","174358","Minnesota State University Moorhead","Minnesota","Undergraduate","5130"
"2017","174358","Minnesota State University Moorhead","Minnesota","Graduate","875"
"2017","174783","Saint Cloud State University","Minnesota","Undergraduate","13128"
"2017","174783","Saint Cloud State University","Minnesota","Graduate","1847"
"2017","175078","Southwest Minnesota State University","Minnesota","Undergraduate","6713"
"2017","175078","Southwest Minnesota State University","Minnesota","Graduate","441"
"2017","175272","Winona State University","Minnesota","Undergraduate","7460"
"2017","175272","Winona State University","Minnesota","Graduate","521"
"2017","200697","Air Force Institute of Technology-Graduate School of Engineering & Management","Ohio","Graduate","898"
"2017","200800","University of Akron Main Campus","Ohio","Undergraduate","16872"
"2017","200800","University of Akron Main Campus","Ohio","Graduate","3297"
"2017","201441","Bowling Green State University-Main Campus","Ohio","Undergraduate","14680"
"2017","201441","Bowling Green State University-Main Campus","Ohio","Graduate","2677"
"2017","201690","Central State University","Ohio","Undergraduate","1784"
"2017","201885","University of Cincinnati-Main Campus","Ohio","Undergraduate","26559"
"2017","201885","University of Cincinnati-Main Campus","Ohio","Graduate","10596"
"2017","201946","University of Cincinnati-Clermont College","Ohio","Undergraduate","2799"
"2017","201955","University of Cincinnati-Blue Ash College","Ohio","Undergraduate","4779"
"2017","202134","Cleveland State University","Ohio","Undergraduate","12078"
"2017","202134","Cleveland State University","Ohio","Graduate","4293"
"2017","203447","Kent State University at Ashtabula","Ohio","Undergraduate","1971"
"2017","203447","Kent State University at Ashtabula","Ohio","Graduate","3"
"2017","203456","Kent State University at East Liverpool","Ohio","Undergraduate","1174"
"2017","203456","Kent State University at East Liverpool","Ohio","Graduate","1"
"2017","203465","Kent State University at Stark","Ohio","Undergraduate","4995"
"2017","203465","Kent State University at Stark","Ohio","Graduate","15"
"2017","203474","Kent State University at Trumbull","Ohio","Undergraduate","2277"
"2017","203474","Kent State University at Trumbull","Ohio","Graduate","1"
"2017","203483","Kent State University at Tuscarawas","Ohio","Undergraduate","2131"
"2017","203492","Kent State University at Salem","Ohio","Undergraduate","1694"
"2017","203492","Kent State University at Salem","Ohio","Graduate","1"
"2017","203517","Kent State University at Kent","Ohio","Undergraduate","23178"
"2017","203517","Kent State University at Kent","Ohio","Graduate","5794"
"2017","203526","Kent State University at Geauga","Ohio","Undergraduate","2247"
"2017","203526","Kent State University at Geauga","Ohio","Graduate","2"
"2017","204006","Miami University-Hamilton","Ohio","Undergraduate","2737"
"2017","204006","Miami University-Hamilton","Ohio","Graduate","14"
"2017","204015","Miami University-Middletown","Ohio","Undergraduate","1973"
"2017","204024","Miami University-Oxford","Ohio","Undergraduate","17147"
"2017","204024","Miami University-Oxford","Ohio","Graduate","2553"
"2017","204477","Northeast Ohio Medical University","Ohio","Graduate","930"
"2017","204671","Ohio State University-Lima Campus","Ohio","Undergraduate","1007"
"2017","204671","Ohio State University-Lima Campus","Ohio","Graduate","11"
"2017","204680","Ohio State University-Mansfield Campus","Ohio","Undergraduate","1056"
"2017","204680","Ohio State University-Mansfield Campus","Ohio","Graduate","5"
"2017","204699","Ohio State University-Marion Campus","Ohio","Undergraduate","1194"
"2017","204699","Ohio State University-Marion Campus","Ohio","Graduate","4"
"2017","204705","Ohio State University-Newark Campus","Ohio","Undergraduate","2607"
"2017","204705","Ohio State University-Newark Campus","Ohio","Graduate","16"
"2017","204796","Ohio State University-Main Campus","Ohio","Undergraduate","45946"
"2017","204796","Ohio State University-Main Campus","Ohio","Graduate","13891"
"2017","204802","Ohio University-Eastern Campus","Ohio","Undergraduate","611"
"2017","204820","Ohio University-Chillicothe Campus","Ohio","Undergraduate","1691"
"2017","204839","Ohio University-Southern Campus","Ohio","Undergraduate","1387"
"2017","204848","Ohio University-Lancaster Campus","Ohio","Undergraduate","1615"
"2017","204857","Ohio University-Main Campus","Ohio","Undergraduate","23167"
"2017","204857","Ohio University-Main Campus","Ohio","Graduate","6202"
